"player_name","team_name","games","total_fg3_att","total_fg3_made","observed_pct","estimated_talent_pure","shrinkage"
"Allie Turner","Gonzaga",31,171,78,0.456140350877193,0.383304500010694,0.0728358508664985
"Katie Donovan","Davidson",30,139,65,0.467625899280576,0.382705085152848,0.0849208141277277
"Azzi Fudd","UConn",31,213,96,0.450704225352113,0.382583065185779,0.0681211601663342
"Ellie Brueggemann","Lindenwood",30,193,85,0.440414507772021,0.376687906617997,0.0637266011540239
"Elle Evans","Kansas",30,139,66,0.474820143884892,0.376570361435845,0.0982497824490473
"Meghan Andersen","Fairfield",30,202,85,0.420792079207921,0.376143262001874,0.0446488172060471
"Avery Mills","Liberty",22,157,70,0.445859872611465,0.375755762537601,0.0701041100738637
"Natalie Pasco","Boise St",30,167,74,0.44311377245509,0.374683807953383,0.0684299645017064
"Emilee Fox","S Dakota St",24,104,51,0.490384615384615,0.37267456784799,0.117710047536625
"Cali Smallwood","UAB",28,206,86,0.41747572815534,0.370542671259726,0.0469330568956135
"Tessa Johnson","South Carolina",30,170,76,0.447058823529412,0.36968572905732,0.0773730944720913
"Gianna Corbitt","Chattanooga",26,130,58,0.446153846153846,0.367935795801787,0.0782180503520592
"Maggie Doogan","Richmond",32,213,88,0.413145539906103,0.367359061178053,0.0457864787280508
"Grace Kingery","Ball State",29,210,87,0.414285714285714,0.36733727766204,0.0469484366236741
"Rachel Ullstrom","Richmond",32,218,90,0.412844036697248,0.366713006600529,0.0461310300967189
"Chazadi Wright","Iowa",27,135,63,0.466666666666667,0.364637827109398,0.102028839557268
"Jillian Huerter","Fairfield",28,142,59,0.415492957746479,0.362005663902635,0.053487293843844
"Shay Ciezki","Indiana",29,177,79,0.446327683615819,0.361384696042912,0.0849429875729067
"Arianna Jackson","Iowa State",27,134,60,0.447761194029851,0.361205032731097,0.0865561612987537
"Ryanne Allen","Villanova",27,103,48,0.466019417475728,0.360952975142751,0.105066442332978
"Kaylah Turner","Temple",29,177,72,0.406779661016949,0.360940651677569,0.0458390093393802
"Rusne Augustinaite","Clemson",32,189,80,0.423280423280423,0.360879111795426,0.0624013114849975
"Justine Pissott","Vanderbilt",31,211,89,0.421800947867299,0.360675748353287,0.0611251995140111
"Amanda Barcello","Utah Valley",23,146,62,0.424657534246575,0.360394564958237,0.0642629692883381
"Allie Ziebell","UConn",30,121,54,0.446280991735537,0.359251657060337,0.0870293346752
"Teryn Gardner","Gonzaga",29,103,46,0.446601941747573,0.358784302378725,0.0878176393688481
"Reese Ericson","Army",28,205,82,0.4,0.358756329406549,0.041243670593451
"Gianna Kneepkens","UCLA",30,155,69,0.445161290322581,0.358697707588859,0.0864635827337215
